trombone,puzon,1704640077.2751632
palm,palma,1704640115.7785811
apple,jabłko,1704640116.801202
potato,ziemniak,1704640117.314046
perpetuate,uwiecznić,1704640321.701163
inaptitude,nieudolność,1704640322.1466804
asinine,głupi,1704640322.6429117
inquiry,zapytanie,1704640323.161737
trite,oklepany,1704640323.5756977
jittery,roztrzęsiony,1704640323.9915247
burgeon,pączkować,1704640329.5117247
arrears,długi,1704640329.9934735
shambles,pobojowisko,1704640330.5283835
unprecedented,bez precedensu,1704640331.0176146
debacle,spadek,1704640331.455692
snide,obłudny,1704640331.8871932
billows,faluje,1704640332.3503172
stodgy,wypchany,1704640337.1475112
despicable,podły,1704643655.7131863
crest,herb,1704646186.5927792
peculiar,osobliwy,1704662708.332725
morgue,kostnica,1704662731.957702
succulent,soczysty,1704662732.3752255
gaiety,wesołość,1704906851.6734705
